     velsurf   thk_positive       thk_regu           glen
8931385.0000         0.0000   9999999.0000        -0.0675
8931248.0000         0.0000   9999999.0000        -0.0675
8930907.0000         0.0000   9999999.0000        -0.0675
8930971.0000         0.0000   9999999.0000        -0.0705
8915432.0000         0.0000   9999999.0000        -0.0705
8914816.0000         0.0000   9999999.0000        -0.0705
8914662.0000         0.0000   9999999.0000        -0.0705
8914163.0000         0.0000   9999999.0000        -0.0705
8913680.0000         0.0000   9999999.0000        -0.0705
8913020.0000         0.0000   9999999.0000        -0.0705
8912762.0000         0.0000   9999999.0000        -0.0705
8912348.0000         0.0000   9999999.0000        -0.0705
8912053.0000         0.0000   9999999.0000        -0.0705
8911741.0000         0.0000   9999999.0000        -0.0730
8899946.0000         0.0000   9999999.0000        -0.0730
8899714.0000         0.0000   9999999.0000        -0.0730
8899120.0000         0.0000   9999999.0000        -0.0730
